SMATRIX	943	1286
	1	89	-1.000000e+000
	1	577	-1.000000e+000
	1	584	-1.000000e+000
	1	615	-1.000000e+000
	1	867	1.000000e+000
	2	255	-2.000000e-002
	2	784	4.000000e-002
	2	974	2.000000e-002
	2	1148	-1.880000e-004
	3	1	1.000000e+000
	3	770	1.000000e+000
	3	1026	-1.000000e+000
	4	1	-1.000000e+000
	4	354	-1.000000e+000
	5	614	1.000000e+000
	5	996	-1.000000e+000
	6	178	-1.000000e+000
	6	788	1.000000e+000
	7	178	1.000000e+000
	7	355	-1.000000e+000
	8	597	1.000000e+000
	8	970	-1.000000e+000
	8	971	-1.000000e+000
	8	1046	1.000000e+000
	9	2	-1.000000e+000
	10	4	-1.000000e+000
	11	5	-1.000000e+000
	12	3	-1.000000e+000
	13	279	-1.000000e+000
	13	732	1.000000e+000
	14	279	1.000000e+000
	14	280	-1.000000e+000
	15	280	1.000000e+000
	15	349	-3.000000e+000
	16	281	-1.000000e+000
	16	282	1.000000e+000
	17	87	1.000000e+000
	17	276	-1.000000e+000
	18	277	-1.000000e+000
	18	760	1.000000e+000
	19	327	-1.000000e+000
	20	283	-1.000000e+000
	20	954	1.000000e+000
	21	80	-1.000000e+000
	21	1042	1.000000e+000
	22	292	-1.000000e+000
	22	690	1.000000e+000
	23	314	-1.000000e+000
	23	315	-1.000000e+000
	23	316	-1.000000e+000
	24	258	-1.000000e+000
	24	1115	1.000000e+000
	25	257	-1.000000e+000
	25	258	1.000000e+000
	25	259	1.000000e+000
	25	874	1.000000e+000
	25	1230	-1.000000e+000
	26	259	-1.000000e+000
	26	356	-1.000000e+000
	27	6	-1.000000e+000
	27	82	1.000000e+000
	28	82	-1.000000e+000
	28	357	-1.000000e+000
	29	44	1.000000e+000
	29	760	-1.000000e+000
	30	293	-1.000000e+000
	30	718	1.000000e+000
	31	287	1.000000e+000
	31	718	-1.000000e+000
	32	653	-1.000000e+000
	32	1182	1.000000e+000
	33	740	-1.000000e+000
	33	1040	1.000000e+000
	34	256	1.000000e+000
	34	296	-1.000000e+000
	35	270	1.000000e+000
	35	345	-1.000000e+000
	35	993	1.000000e+000
	36	269	1.000000e+000
	36	270	-1.000000e+000
	36	273	1.000000e+000
	36	862	1.000000e+000
	37	269	-1.000000e+000
	37	358	-1.000000e+000
	38	268	1.000000e+000
	38	271	-1.000000e+000
	39	268	-1.000000e+000
	39	604	1.000000e+000
	40	7	-1.000000e+000
	40	8	-1.000000e+000
	41	9	-1.000000e+000
	41	10	-1.000000e+000
	41	314	1.000000e+000
	42	329	-1.000000e+000
	42	865	1.000000e+000
	43	117	-1.000000e+000
	43	286	1.000000e+000
	43	324	1.000000e+000
	43	581	1.000000e+000
	43	596	-1.000000e+000
	43	728	-1.000000e+000
	43	883	-1.000000e+000
	43	884	-1.000000e+000
	43	1196	1.000000e+000
	43	1218	1.000000e+000
	44	324	-1.000000e+000
	44	581	-1.000000e+000
	44	596	1.000000e+000
	44	728	1.000000e+000
	44	883	1.000000e+000
	44	884	1.000000e+000
	44	1196	-1.000000e+000
	44	1218	-1.000000e+000
	45	336	1.000000e+000
	45	1030	-1.000000e+000
	45	1067	1.000000e+000
	45	1069	1.000000e+000
	45	1071	1.000000e+000
	45	1198	1.000000e+000
	46	330	1.000000e+000
	46	332	-1.000000e+000
	46	1030	1.000000e+000
	47	627	1.000000e+000
	47	652	1.000000e+000
	47	716	1.000000e+000
	47	719	1.000000e+000
	48	705	-1.000000e+000
	48	964	1.000000e+000
	49	11	-1.000000e+000
	49	748	1.000000e+000
	50	755	1.000000e+000
	50	756	-1.000000e+000
	51	317	1.000000e+000
	51	318	1.000000e+000
	51	1257	-1.000000e+000
	51	1258	-1.000000e+000
	52	1012	1.000000e+000
	52	1202	-1.000000e+000
	53	811	1.000000e+000
	53	848	-1.000000e+000
	54	811	-1.000000e+000
	54	812	1.000000e+000
	55	339	1.000000e+000
	55	835	-1.000000e+000
	56	832	-1.000000e+000
	56	833	1.000000e+000
	57	706	1.000000e+000
	57	858	-1.000000e+000
